longitude,latitude,forest_loss_prediction
81.5392,28.4691,0
84.9189,27.2715,0
84.5191,27.5328,0
82.1544,28.3458,0
82.8061,27.9133,0
80.4394,29.0802,0
81.9114,28.1378,0
80.7806,28.8468,0
81.5392,28.4691,0
82.0489,28.4367,0
80.7796,29.3127,1
81.863,28.2275,0
84.8319,27.2679,0
81.409,28.4598,0
81.8359,28.5216,0
82.2339,28.2669,0
81.9226,27.9675,1
82.0347,28.5842,1
81.1337,28.8108,0
80.7888,28.7041,1
82.5356,27.9497,0
82.5983,27.9629,1
82.734,27.6943,0
80.5248,29.146,0
80.8831,28.5489,0
80.5481,28.9094,0
82.1091,28.3223,1
80.2114,28.8979,0
81.3125,28.7233,1
85.635,27.3076,0
80.6719,29.0545,0
81.4747,28.3953,0
82.7364,27.8992,0
81.5422,28.316,0
85.6372,27.3863,0
81.5363,28.4747,0
87.2733,26.7806,0
87.9522,26.4637,0
82.285,28.3252,0
84.9414,27.3202,1
81.8988,28.12,1
84.4563,27.556,1
80.5164,29.1591,1
80.162,28.865,0
82.4503,27.9629,0
81.2042,28.7409,0
81.9027,28.1332,0
81.3,28.6396,0
80.2161,28.8633,0
84.9744,27.2761,0
80.7783,28.9532,1
84.7467,28.049,0
82.4232,27.8101,0
81.2735,28.5284,1
82.0261,28.0798,1
87.7107,27.1896,0
81.8435,28.1225,0
81.9763,28.2934,0
82.7464,27.8977,0
81.2847,28.5274,0
82.6824,27.9159,1
84.7986,27.3359,1
82.1939,28.3195,1
80.4826,29.1847,1
82.2291,27.994,0
80.1938,29.1102,1
82.2339,28.2669,0
81.9386,28.1341,0
83.9765,27.5019,0
81.5925,28.3732,1
82.9866,28.114,0
80.7365,29.0923,1
80.369,28.8692,0
80.9971,28.9324,0
81.2929,28.6565,0
82.0479,28.0569,0
80.3901,29.0967,0
80.9622,28.5333,1
84.8066,27.2418,0
82.8205,28.0045,1
81.546,28.7129,0
81.3319,28.7055,0
82.1395,28.0204,0
81.3946,28.4495,0
80.8452,28.5704,0
81.6025,28.3225,0
81.1126,28.8596,0
81.6358,28.4215,0
81.429,28.8985,1
82.1921,28.2511,0
82.1695,28.0257,0
84.9189,27.2279,1
81.1974,28.9743,0
80.4033,28.7867,1
81.3848,28.9615,1
80.1567,28.9264,0
80.6447,29.1344,0
81.6778,28.5345,0
81.5006,28.5191,0
81.313,28.5971,0
80.7139,28.6579,1
81.9481,28.3271,0
81.9509,28.1098,0
80.7367,29.0372,1
80.2294,28.8222,0
81.7006,28.4784,0
81.5358,28.7005,0
86.9806,26.7669,1
81.4506,28.3289,0
80.186,28.8461,0
83.1646,27.74,0
81.4893,28.6955,0
85.2926,27.1293,1
84.0478,27.5303,0
81.5256,28.3588,0
80.3401,28.7432,1
84.4596,27.5501,0
84.6572,27.9491,0
84.9436,27.2829,1
81.9125,28.1035,0
80.1902,29.1054,0
80.8464,28.5969,0
80.5418,29.1616,0
81.954,27.9813,1
80.5306,29.0384,0
85.9545,26.9817,1
81.307,28.548,0
80.3628,29.231,1
84.3418,27.5571,0
81.7788,28.435,0
81.84,28.114,0
80.5639,28.9011,0
81.5416,28.3524,1
80.4599,29.1162,0
81.8837,28.1015,0
83.5038,27.6476,1
83.9017,27.6266,0
81.0215,29.2673,1
82.1201,28.324,0
80.8057,29.3811,0
81.9286,28.1154,0
80.8831,28.5489,0
84.7869,28.283,1
81.954,27.9813,0
81.2117,28.9912,1
84.8367,27.3371,1
81.7607,28.7231,1
84.7652,27.3426,0
81.3131,28.7084,0
82.8981,28.0149,0
80.469,28.7751,1
80.8737,28.7996,0
85.2159,27.8842,1
80.3142,29.1083,1
81.3143,28.564,1
81.4384,28.5169,0
80.6432,29.116,0
81.5245,28.5367,0
85.8338,27.0207,1
81.2929,28.6565,1
81.2786,28.5924,1
82.8049,27.9025,0
82.2829,27.8483,0
80.5088,29.0238,1
82.6655,27.7696,1
82.1576,27.8937,1
80.1771,28.8106,0
86.5608,26.9083,1
81.3695,28.5393,0
81.5553,28.3727,0
82.0765,28.1929,1
80.5957,28.8633,0
80.7004,28.7041,1
81.409,28.4598,0
82.0033,28.6442,1
80.8523,28.9371,0
82.8981,28.0149,0
82.298,27.8455,0
81.5363,28.4747,0
82.1669,27.9191,1
82.8634,27.7608,0
81.2702,28.5748,0
86.417,26.9813,0
83.976,27.6272,0
80.7391,28.6709,0
82.6824,27.9159,0
81.9667,28.2635,0
81.8997,27.9611,0
81.3573,28.6003,1
81.474,28.3685,0
81.3282,28.6074,1
81.2654,28.5223,0
82.1071,28.4486,0
80.6527,29.0179,1
81.5063,28.4066,1
84.7858,27.2696,0
82.1149,28.0517,1
84.8066,27.2418,1
80.9971,28.9324,1
81.3485,28.893,0
84.6187,28.1235,1
81.4539,28.4161,0
82.1442,28.5452,0
81.4421,28.4142,0
82.6268,27.9346,0
82.0601,28.0649,1
82.8061,27.9133,0
80.2694,29.4293,0
81.8837,28.1015,0
80.2146,28.8479,0
82.2382,28.4434,0
86.778,26.7266,0
84.9094,27.3111,0
81.8739,27.9821,1
82.6777,27.916,0
81.4628,28.4311,0
82.8557,27.8853,0
80.4705,29.0747,0
82.1688,28.5842,1
81.3573,28.6003,0
81.6597,28.3767,0
82.4806,28.2358,1
81.5733,28.3365,0
81.6394,29.1657,0
